1.1.1.1 1ms test
172.67.74.63 416ms FRA
172.67.76.63 372ms FRA
172.67.78.63 405ms FRA
172.67.79.63 401ms FRA
172.67.81.63 382ms FRA
172.67.82.63 363ms FRA
172.67.83.63 402ms FRA
172.67.85.63 400ms FRA
172.67.86.63 382ms FRA
172.67.87.63 399ms FRA
172.67.88.63 393ms FRA
172.67.90.63 365ms FRA
172.67.94.63 403ms FRA
172.67.95.63 407ms FRA
172.67.96.63 410ms FRA
172.67.100.63 399ms FRA
172.67.108.63 370ms FRA
172.67.113.63 394ms FRA
172.67.118.63 373ms FRA
172.67.122.63 399ms FRA
172.67.123.63 374ms FRA
172.67.125.63 374ms FRA
172.67.126.63 372ms FRA
172.67.127.63 360ms FRA
172.67.128.63 187ms LAX
172.67.129.63 194ms LAX
172.67.130.63 193ms LAX
172.67.131.63 211ms LAX
172.67.132.63 187ms LAX
172.67.133.63 182ms LAX
172.67.134.63 215ms LAX
172.67.135.63 194ms LAX
172.67.136.63 190ms LAX
172.67.137.63 189ms LAX
172.67.138.63 209ms LAX
172.67.139.63 181ms LAX
172.67.140.63 208ms LAX
172.67.141.63 198ms LAX
172.67.142.63 198ms LAX
172.67.143.63 191ms LAX
172.67.144.63 191ms LAX
172.67.145.63 198ms LAX
172.67.146.63 201ms LAX
172.67.147.63 221ms LAX
172.67.148.63 212ms LAX
172.67.149.63 222ms LAX
172.67.150.63 215ms LAX
172.67.151.63 197ms LAX
172.67.152.63 228ms LAX
172.67.153.63 215ms LAX
172.67.154.63 182ms LAX
172.67.155.63 193ms LAX
172.67.156.63 224ms LAX
172.67.157.63 214ms LAX
172.67.158.63 199ms LAX
172.67.160.63 205ms LAX
172.67.161.63 198ms LAX
172.67.162.63 200ms LAX
172.67.163.63 202ms LAX
172.67.164.63 224ms LAX
172.67.165.63 177ms LAX
172.67.166.63 195ms LAX
172.67.167.63 199ms LAX
172.67.168.63 198ms LAX
172.67.169.63 208ms LAX
172.67.170.63 184ms LAX
172.67.171.63 188ms LAX
172.67.172.63 195ms LAX
172.67.173.63 190ms LAX
172.67.174.63 194ms LAX
172.67.175.63 181ms LAX
172.67.176.63 212ms LAX
172.67.177.63 217ms LAX
172.67.178.63 193ms LAX
172.67.179.63 233ms LAX
172.67.180.63 194ms LAX
172.67.181.63 206ms LAX
172.67.182.63 183ms LAX
172.67.183.63 219ms LAX
172.67.184.63 222ms LAX
172.67.185.63 218ms LAX
172.67.186.63 203ms LAX
172.67.187.63 206ms LAX
172.67.188.63 191ms LAX
172.67.189.63 214ms LAX
172.67.190.63 192ms LAX
172.67.191.63 216ms LAX
172.67.192.63 189ms LAX
172.67.193.63 224ms LAX
172.67.194.63 221ms LAX
172.67.195.63 214ms LAX
172.67.196.63 176ms LAX
172.67.197.63 193ms LAX
172.67.198.63 193ms LAX
172.67.199.63 191ms LAX
172.67.200.63 220ms LAX
172.67.201.63 216ms LAX
172.67.202.63 198ms LAX
172.67.203.63 241ms LAX
172.67.204.63 186ms LAX
172.67.205.63 193ms LAX
172.67.206.63 193ms LAX
172.67.207.63 194ms LAX
172.67.208.63 187ms LAX
172.67.209.63 214ms LAX
172.67.210.63 182ms LAX
172.67.215.63 211ms LAX
172.67.217.63 221ms LAX
172.67.220.63 186ms LAX
172.67.221.63 216ms LAX
172.67.223.63 182ms LAX
172.67.226.63 217ms LAX
172.67.229.63 215ms LAX
